Zeit;Wert 1-avg[W]
2023-01-07 14:58:00.943417; 46.827408
2023-01-07 14:58:01.963680; 51.429
2023-01-07 14:58:02.975393; 51.48825
2023-01-07 14:58:03.999011; 50.05203
2023-01-07 14:58:05.001076; 47.083842
2023-01-07 14:58:06.013148; 46.571448
2023-01-07 14:58:07.018402; 49.267086
2023-01-07 14:58:08.042042; 50.16816
2023-01-07 14:58:09.058090; 49.847736
2023-01-07 14:58:10.064328; 47.083842
2023-01-07 14:58:11.069222; 46.626432
2023-01-07 14:58:12.080092; 46.626432
2023-01-07 14:58:13.106754; 50.577696
2023-01-07 14:58:14.117944; 49.470669
2023-01-07 14:58:15.126008; 48.68928
2023-01-07 14:58:16.137338; 46.370709
2023-01-07 14:58:17.143386; 46.370709
2023-01-07 14:58:18.147134; 46.815084
2023-01-07 14:58:19.151544; 32.08032
2023-01-07 14:58:20.163958; 31.859673
2023-01-07 14:58:21.184204; 32.071788
2023-01-07 14:58:22.207233; 32.738706
2023-01-07 14:58:23.223349; 31.512942
2023-01-07 14:58:24.233097; 31.470756
2023-01-07 14:58:25.245473; 31.555128
2023-01-07 14:58:26.263595; 32.12298
2023-01-07 14:58:27.283838; 32.609304
2023-01-07 14:58:28.286613; 31.81725
2023-01-07 14:58:29.292939; 31.732404
2023-01-07 14:58:30.313328; 32.344338
2023-01-07 14:58:31.330556; 31.512942
2023-01-07 14:58:32.355598; 31.95234
2023-01-07 14:58:33.376899; 31.95234
2023-01-07 14:58:34.377757; 32.08032
2023-01-07 14:58:35.393857; 31.774827
2023-01-07 14:58:36.422431; 31.908898
2023-01-07 14:58:37.430685; 32.30136
2023-01-07 14:58:38.448652; 31.603544
2023-01-07 14:58:39.460060; 31.645908
2023-01-07 14:58:40.478690; 32.25852
2023-01-07 14:58:41.497839; 31.645908
2023-01-07 14:58:42.514769; 32.746896
2023-01-07 14:58:43.525052; 31.994102
2023-01-07 14:58:44.537796; 31.908898
2023-01-07 14:58:45.539717; 32.3442
2023-01-07 14:58:46.555126; 31.688272
2023-01-07 14:58:47.555833; 31.908898
2023-01-07 14:58:48.565160; 31.425996
2023-01-07 14:58:49.569787; 31.56118
2023-01-07 14:58:50.595577; 32.21568
2023-01-07 14:58:51.599534; 32.036704
2023-01-07 14:58:52.616456; 32.30136
2023-01-07 14:58:53.635296; 31.730636
2023-01-07 14:58:54.648913; 31.688272
2023-01-07 14:58:55.657599; 31.645908
2023-01-07 14:58:56.661031; 31.56118
2023-01-07 14:58:57.682119; 31.56118
2023-01-07 14:58:58.697339; 31.9515
2023-01-07 14:58:59.709358; 32.036704
2023-01-07 14:59:00.729666; 31.994102
2023-01-07 14:59:01.743805; 32.21568
2023-01-07 14:59:02.758868; 31.908898
2023-01-07 14:59:03.765971; 31.645908
2023-01-07 14:59:04.784413; 31.603544
2023-01-07 14:59:05.790174; 31.56118
2023-01-07 14:59:06.806415; 32.079306
2023-01-07 14:59:07.819505; 32.38704
2023-01-07 14:59:08.832193; 31.994102
2023-01-07 14:59:09.838331; 31.773
