"(PDH-CSV 4.0) (Mitteleuropäische Zeit)(-60)","\\DJ-TESLA\Arbeitsspeicher\Zugesicherte verwendete Bytes (%)","\\DJ-TESLA\Auslagerungsdatei(\??\C:\pagefile.sys)\Belegung (%)","\\DJ-TESLA\Auslagerungsdatei(_Total)\Belegung (%)","\\DJ-TESLA\Netzwerkadapter(Microsoft Kernel Debug Network Adapter)\Bytes gesendet/s","\\DJ-TESLA\Netzwerkadapter(Intel[R] Ethernet Connection I217-LM)\Bytes gesendet/s","\\DJ-TESLA\Netzwerkadapter(WAN Miniport [IP])\Bytes gesendet/s","\\DJ-TESLA\Netzwerkadapter(WAN Miniport [IPv6])\Bytes gesendet/s","\\DJ-TESLA\Netzwerkadapter(WAN Miniport [Network Monitor])\Bytes gesendet/s","\\DJ-TESLA\Netzwerkadapter(Teredo Tunneling Pseudo-Interface)\Bytes gesendet/s","\\DJ-TESLA\Netzwerkadapter(Microsoft IP-HTTPS Platform Interface)\Bytes gesendet/s","\\DJ-TESLA\Netzwerkadapter(6to4 Adapter)\Bytes gesendet/s","\\DJ-TESLA\Netzwerkadapter(LAN-Verbindung* 1)\Bytes gesendet/s","\\DJ-TESLA\Netzwerkadapter(LAN-Verbindung* 2)\Bytes gesendet/s","\\DJ-TESLA\Netzwerkadapter(LAN-Verbindung* 3)\Bytes gesendet/s","\\DJ-TESLA\Netzwerkadapter(LAN-Verbindung* 4)\Bytes gesendet/s","\\DJ-TESLA\Netzwerkadapter(Microsoft Kernel Debug Network Adapter)\Empfangene Bytes/s","\\DJ-TESLA\Netzwerkadapter(Intel[R] Ethernet Connection I217-LM)\Empfangene Bytes/s","\\DJ-TESLA\Netzwerkadapter(WAN Miniport [IP])\Empfangene Bytes/s","\\DJ-TESLA\Netzwerkadapter(WAN Miniport [IPv6])\Empfangene Bytes/s","\\DJ-TESLA\Netzwerkadapter(WAN Miniport [Network Monitor])\Empfangene Bytes/s","\\DJ-TESLA\Netzwerkadapter(Teredo Tunneling Pseudo-Interface)\Empfangene Bytes/s","\\DJ-TESLA\Netzwerkadapter(Microsoft IP-HTTPS Platform Interface)\Empfangene Bytes/s","\\DJ-TESLA\Netzwerkadapter(6to4 Adapter)\Empfangene Bytes/s","\\DJ-TESLA\Netzwerkadapter(LAN-Verbindung* 1)\Empfangene Bytes/s","\\DJ-TESLA\Netzwerkadapter(LAN-Verbindung* 2)\Empfangene Bytes/s","\\DJ-TESLA\Netzwerkadapter(LAN-Verbindung* 3)\Empfangene Bytes/s","\\DJ-TESLA\Netzwerkadapter(LAN-Verbindung* 4)\Empfangene Bytes/s","\\DJ-TESLA\Netzwerkschnittstelle(Intel[R] Ethernet Connection I217-LM)\Bytes gesendet/s","\\DJ-TESLA\Netzwerkschnittstelle(Intel[R] Ethernet Connection I217-LM)\Empfangene Bytes/s","\\DJ-TESLA\Physikalischer Datenträger(0 C:)\Bytes gelesen/s","\\DJ-TESLA\Physikalischer Datenträger(_Total)\Bytes gelesen/s","\\DJ-TESLA\Physikalischer Datenträger(0 C:)\Bytes geschrieben/s","\\DJ-TESLA\Physikalischer Datenträger(_Total)\Bytes geschrieben/s","\\DJ-TESLA\Prozessor(0)\Prozessorzeit (%)","\\DJ-TESLA\Prozessor(1)\Prozessorzeit (%)","\\DJ-TESLA\Prozessor(2)\Prozessorzeit (%)","\\DJ-TESLA\Prozessor(3)\Prozessorzeit (%)","\\DJ-TESLA\Prozessor(_Total)\Prozessorzeit (%)"
"01/07/2023 14:53:06.156","34.857488943929197944","0","2.374267578125","0","0","0","0","0","0","0","0"," "," "," "," ","0","195.49731774687745656","0","0","0","0","0","0"," "," "," "," ","0","195.49731774687745656","665935.67958707769867","665935.67958707769867","200189.25337280251551","200189.25337280251551","14.281553490056165145","29.86672558277322409","3.3719330251542167787","57.920035349663933744","26.360066849166951641"
"01/07/2023 14:53:07.159","34.85869705557327336","0","2.374267578125","0","0","0","0","0","0","0","0"," "," "," "," ","0","131.67595863339906259","0","0","0","0","0","0"," "," "," "," ","0","131.67595863339906259","0","0","383057.33420625183498","383057.33420625183498","23.626882419663964185","29.861422630303636083","18.950977261684197828","43.889138104242910288","29.082105103973677984"
"01/07/2023 14:53:08.155","35.148885854321740396","0","2.374267578125","0","0","0","0","0","0","0","0"," "," "," "," ","0","358.39710358921144007","0","0","0","0","0","0"," "," "," "," ","0","358.39710358921144007","0","0","343354.46437301888363","343354.46437301888363","46.667183346628469565","7.4518769838552874063","15.294938256409928101","49.804407855650325132","29.804596591076794709"
"01/07/2023 14:53:09.158","35.151503429550565727","0","2.374267578125","0","63.831650405221267874","0","0","0","0","0","0"," "," "," "," ","0","259.31607977121137765","0","0","0","0","0","0"," "," "," "," ","63.831650405221267874","259.31607977121137765","0","0","28596.579381539129827","28596.579381539129827","47.013696946871860405","3.3779179619428223447","0.261076605876453538","43.896855590805508029","23.637386776374157193"
"01/07/2023 14:53:10.145","35.154040468659722762","0","2.374267578125","0","0","0","0","0","0","0","0"," "," "," "," ","0","198.58516177750337306","0","0","0","0","0","0"," "," "," "," ","0","198.58516177750337306","0","0","481402.85421589715406","481402.85421589715406","43.008500700058249322","5.0141678334304167208","0.26487622510192876391","54.090181119491361983","25.594431469520493749"
"01/07/2023 14:53:11.147","35.111796770969355919","0","2.374267578125","0","0","0","0","0","0","0","0"," "," "," "," ","0","131.65549706084090076","0","0","0","0","0","0"," "," "," "," ","0","131.65549706084090076","0","0","689906.72108294232748","689906.72108294232748","48.571989390544786147","3.3776770367811126405","0.26082790893534602006","48.571989390544786147","25.195620931701512291"
"01/07/2023 14:53:12.150","35.108977843799856089","0","2.374267578125","0","0","0","0","0","0","0","0"," "," "," "," ","0","131.65241130367601841","0","0","0","0","0","0"," "," "," "," ","0","131.65241130367601841","0","0","703678.14895113918465","703678.14895113918465","51.689479372417537206","1.8205548536227356138","0.26215096241040125591","45.455863807568185564","24.807017235897166785"
"01/07/2023 14:53:13.152","35.108534860217140761","0","2.374267578125","0","0","0","0","0","0","0","0"," "," "," "," ","0","131.65297592077044442","0","0","0","0","0","0"," "," "," "," ","0","131.65297592077044442","0","0","53108.012589615034813","53108.012589615034813","56.365430889125910596","4.9389744370242905092","0.26384203228778657646","39.223278738425371159","25.197881524215837601"
"01/07/2023 14:53:14.166","34.817500397287659553","0","2.374267578125","0","0","0","0","0","0","0","0"," "," "," "," ","0","130.26678736739802389","0","0","0","0","0","0"," "," "," "," ","0","130.26678736739802389","0","0","654839.29766069469042","654839.29766069469042","55.282162277813405638","4.3963469387734992466","0","39.862218235680103362","24.827767860218031615"
"01/07/2023 14:53:15.158","34.894457211460562007","0","2.374267578125","0","0","0","0","0","0","0","0"," "," "," "," ","0","133.06808428532457356","0","0","0","0","0","0"," "," "," "," ","0","133.06808428532457356","673050.30558279086836","673050.30558279086836","718470.87835218163673","718470.87835218163673","44.871399529051799959","22.819959340672525627","22.819959340672525627","54.32201675264292362","36.208333740759947261"
